Title,PropertySize,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,exchangeable,Description,URL,CrawlDate
آپارتمان 135 متر/3 خوابه/خ فروغی,135,7٬000٬000٬000 تومان,51٬851٬000 تومان,3,1403,1,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش فن کوئل | گرمایش فن کوئل | تأمین‌کننده آب گرم پکیج,خیر,"به نام خالق هستی

⚜️⚜️مشاورین املاک امین⚜️⚜️
#️⃣ کد فایل: 6035

✅️ آپارتمان لاکچری واقع در خیابان فروغی (تکمیل و فول امکانات شیک)
✅️ متراژ : 135 متر
✅️ سن بنا : 1403 
✅️ موقعیت ملک : شمالی جنوبی
✅️ تعداد اتاق خواب : 3 (کمد دیواری و پنجره نور مستقیم آفتاب و مستر)
✅️ طبقه موجود : دوم
✅️ تعداد طبقات : 4
✅️ تعداد واحد در طبقه : 1
✅️ وضعیت سند : 6 دانگ تک برگ، در دست اقدام
امکانات : آسانسور - انباری - پارکینگ - بالکن - خواب مستر _ گرمایش سرمایش چیلر 
مزایا : موقعیت فرهنگی بالا - دسترسی آسان به خیابان اصلی ، مراکز خرید - نقشه ساخت ایده آل - قابلیت رهن تا 800 میلیون رهن کامل 

✔️ لطفا جهت بازدید از این ملک یا موارد مشابه تماس حاصل نمایید.
✔️ بازدید هر ساعتی با هماهنگی قبلی بلامانع است.
✔️ برای کسب اطلاعات بیشتر با ما در تماس باشید.

▪︎آدرس دفتر: خیابان رباط اول، جنب کوچه 46/1، املاک امین
▪︎کارشناس: آقای نوجوکی",https://divar.ir/v/آپارتمان-۱۳۵-متر-۳-خوابه-خ-فروغی/wZtagjB7,2025-02-15
فروش چهار دیواری باغ ویلا,Not found,200 متر,135٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"فروش انواع چهاردیواری و زمین باغی با هر متراژ وقیمت درلوکیشن های مختلف منطقه
◽دیوار داخل و بیرون سیمان بری شده
◽نقد و اقساط 
◽ داخل مجموعه شخصی 
◽رشد اقتصادی فوق العاده بالا
◽مادر سند دار
◽آب و برق
◽کوچه 7متری
◽ معاوضه با خودرو
  متراژ کمتر و بیشتر هم امکان پذیر است",https://divar.ir/v/فروش-چهار-دیواری-باغ-ویلا/wZDdgXe6,2025-02-15
شیخ صدوق105 متر2خاب با110مترحیاط20 ساله بازسازی,105,10٬000٬000٬000 تومان,95٬238٬000 تومان,2,1383,Not Found,Not Found,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ ندارد | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,بله,شیخ صدوق شمالی ،،105 متری،،2 خوابه،،110   متر حیاط اختصاصی ،، بدون پارکینگ و انباری ،،20 سال ساخت ،،بازسازی شده،، //  پکیج نو و جدید   و  کابینت ها نو و جدید  و کاغذدیواری  و کف تماما سرامیک  و  آشپزخانه اپن  و  کابینت ها  ام دی آف   نو  و  جدید. بدون پارکینگ و انباری  ،، ((  مشاورین املاک خونه به خونه هر نوع عمل ملکی اعم از خرید فروش رهن اجاره طرح اجرا بازسازی کامل صفر تا صد و بازبینی مجدد با مهندسی مطمئن پیگیر و تاثیر گذار با پیشینه طولانی مدت با محیطی امن و آرامش بخش و صادق و البته سریع و فوری با نظم و انضباطی منحصر به فرد و بی نظیر و ایده آل انجام وظیفه می کنند ))  همواره و همیشه خنده بر لبان شما،، در صورت عدم دریافت تماس، پیام بگذارید، ممنون و سپاس از بزرگواری و عنایت و حسن توجه بی مانند و والای شما ،،,https://divar.ir/v/شیخ-صدوق۱۰۵-متر۲خاب-با۱۱۰مترحیاط۲۰-ساله-بازسازی/wZwiB2IY,2025-02-15
3250مترزمین شهرک میلادجنب منازل وهایپرشاهین شهر,Not found,3٬250 متر,3٬200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"به نام خدای یکتا 
زمین جهت سرمایه گذاری  
✅️به صورت مشاع وحدوحدود
✅️رزورشهری 
مدارک کامل وقابل استعلام دردفترخانه اسنادرسمی 
روبروی منازل مسکونی میلادوجنب هایپرمیلاد شاهین شهر 
✅️✅️جنب ساختمان جدیدفرماندهی✅️✅️ 
✅️✅️قابل معاوضه باخودروخارجی ✅️✅️
خرید مستقیم ازمالک بدون واسطه
فاز1شهرک میلاد
حداقل 500میلیون زیرفی بازار
جهت خریدوکسب اطلاعات بیشترتماس بگیرید 
یاحق به امیددیدارشما",https://divar.ir/v/۳۲۵۰مترزمین-شهرک-میلادجنب-منازل-وهایپرشاهین-شهر/wZWy0bPq,2025-02-15
منزل ویلایی 1 خواب پلاک سوم خیابان 55 متر,55,55,1٬850٬000٬000 تومان,1,1380,Not Found,Not Found,سند: قول‌نامه‌ای | جهت ساختمان: شرقی | وضعیت واحد: بازسازی شده,پارکینگ ندارد | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,خیر,"با سلام
منزل ویلایی 1 خواب نقلی و شیک 
پلاک سوم خیابان 
کوچه 52 شمشاد یا مکتبی قدیم
کوچه 8 متری پهن و عالی 
واقع در مرکز تجاری قائمیه 
قولنامه مشاوره املاک داره
وقولنامهای خریداران وفروشندگان قبلی هم موجوده
کف سرامیک 
کمد دیواری 
کابینت بدنه گالوانیزه محکم و درب mdf
گرمایش بخاری و سرمایش کولر آبی
دارای حیاط 3 متری 
دارای آب و برق و گاز و فاضلاب  و تلفن ثابت
نقلی تمیز و بازسازی شده مناسب عروس و داماد و افراد سالخورده",https://divar.ir/v/منزل-ویلایی-۱-خواب-پلاک-سوم-خیابان-۵۵-متر/wZvyo11Z,2025-02-15
فروش آپارتمان 74 متری 2 خوابه طبقه 2 در بهارستان,74,2٬500٬000٬000 تومان,33٬783٬000 تومان,2,1401,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,خیر,سند تک برگ آماده انتقال‌ شرایط اقساطی,https://divar.ir/v/فروش-آپارتمان-۷۴-متری-۲-خوابه-طبقه-۲-در-بهارستان/wZjCbXB9,2025-02-15
آپارتمان 87 متری بسیار خوش ساخت,87,4٬000٬000٬000 تومان,45٬977٬000 تومان,2,1388,4,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف پارکت لمینت | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,این واحد در یکی از بهترین لوکیشن‌های خیابان رباط یعنی کوچه 12 متری انقلاب روبروی پارک رستم شیرازی واقع شده است. 10 متری خیابان اصلی با دسترسی عالی به تمامی امکانات. کف پارکت. کابینت های گلس ترک. سرمایش کولر آبی و گرمایش پکیج. شیرآلات حمام و دستشویی و سیستم پکیج و شوفازها و آیفون تصویری کاملا نوسازی شده . بازسازی کامل حمام و دستشویی. دارای کمدهای زیاد جهت لباس در هر دو اتاق خواب که یکی با عمق زیاد جهت رختخواب و وسایل اضافه. بالکن 5 متری جهت شمالی و پارکینگ مسقف به همراه یک انباری نقلی 10 متری. همسایه هایی آرام و با فرهنگ. مجتمع 5 طبقه و هر طبقه 2 واحد در مجموع 9 واحدی.کنتورهای برق و گاز جدا و کنتور آب در حال حاضر مشترک.لطفا خریدار واقعی تماس بگیره. سند آزاد. تخفیف جزئی برای خریدار واقعی. ضمنا مایل به معاوضه هم هستم با واحد بزرگتر ترجیحا در مناطق کاوه باهنر جابر و مناطق مرکزی شهر اصفهان.,https://divar.ir/v/آپارتمان-87-متری-بسیار-خوش-ساخت/wZRW03oF,2025-02-15
منزل مسکونی حصه,100,100,1٬500٬000٬000 تومان,1,1385,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ ندارد | انباری ندارد | بالکن ندارد,خیر,"منزل مسکونی تکمیل امکانت کامل چند قدمی اتوبان موقعیت ملک بسیار عالی
معاوضه با باغ یا ماشین هم میکنم",https://divar.ir/v/منزل-مسکونی-حصه/wZvCeZMt,2025-02-15
ویلایی حافظ شرقی,115,135,3٬750٬000٬000 تومان,2,1399,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,خیر,"ویلایی پلاک دوم خیابان 
درب حیاط 
نما سنگ و اجر 
کابینت ام دی اف 
پکیج و پنجره دوجداره 
سند 6 دانگ 
پایان ساخت
مناسب برای مصرف کننده",https://divar.ir/v/ویلایی-حافظ-شرقی/wZMq6FAO,2025-02-15
اپارتمان سه خواب باغ زیار,165,10٬800٬000٬000 تومان,65٬454٬000 تومان,3,1393,5,6,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,اپارتمان سه خواب باغ زیار 165متر طبقه 5جنوبی فول امکانات,https://divar.ir/v/اپارتمان-سه-خواب-باغ-زیار/wZUJgGKR,2025-02-15
آپارتمان 75 متری 1 خوابه جنوبی خردمند,75,2٬730٬000٬000 تومان,36٬400٬000 تومان,1,1403,1,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,آپارتمان 75 متری 1 خوابه جنوبی، فروش یا معاوضه با دو خوابه در همین محدوده، سالن مربعی، اتاق خواب 12 متری، کمد دیواری بزرگ، تراس بزرگ، آشپزخانه پر کابینت، سند در دست اقدام، 200 تومن کم سند,https://divar.ir/v/آپارتمان-75-متری-1-خوابه-جنوبی-خردمند/wZmOhs8M,2025-02-15
باغ کبوتر آباد 400 متری,120,400,2٬700٬000٬000 تومان,2,1401,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش اسپلیت | تأمین‌کننده آب گرم آبگرم‌کن,بله,"قولنامه ای تحت تاییدیه دهیاری میباشد داخل کوچه آریانا  در مجموعه  هست درها ریموتی. دارای آب برق  گرمایش سرمایش اسپیلیت تانک 5000, هزار لیتری  120 متر ساخت دو خواب می‌باشد  استخر دارای  تصفیه و پمپ آب میباشد",https://divar.ir/v/باغ-کبوتر-آباد-400-متری/wZvGAvuL,2025-02-15
فروش آپارتمان 130 متری مدرن 3 خوابه در سپاهان‌شهر,130,9٬600٬000٬000 تومان,73٬846٬000 تومان,3,1390,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,بله,"3خواب کلید نخورده
130 متری جنوبی
ویودار و آفتابگیر
.
.
.
.
.
.
⚜️ مشاور شما : مهزیار شیردوانی ⚜️


❌❌از همکاری با مشاورین املاک عزیز در این فایل معذوریم❌❌

—————————————————————


املاک عبدیان:
3490☎️
آدرس: سپاهانشهر - نبش سبلان",https://divar.ir/v/فروش-آپارتمان-۱۳۰-متری-مدرن-۳-خوابه-در-سپاهان-شهر/wZs6EfNl,2025-02-15
آپارتمان300متر/مدرن مجلل لوکس/مشاعات آبی کامل,300,78٬000٬000٬000 تومان,260٬000٬000 تومان,4,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,بله,"مهندسی املاک آسپا”ASP
“آسپا : نام کهن اصفهان”
هستیم تا رسیدن به رویاهایتان
تماس فقط با شماره*********** آقایی

کد ملک:***25
آپارتمان لوکس مجلل چهارباغ بالا


⭕️متراژ 300

⭕️مدرن و مجلل

⭕️متریال وارداتی لوکس

⭕️چشم اندازی بیتکرار از پارک و کوه

⭕️دو بالکن 50متری چیدمانی

⭕️4خواب بزرگ 3خواب دارای سرویس مستر

⭕️روف گاردن

⭕️کف اسلب فورمچ

⭕️اشپز خانه انزو فرنیش کامل بوش

⭕️طراحی لوکس و‌مدرن با اجرایی دقیق 

⭕️سیستم هوشمند کنترل نور و دما

⭕️لابی مجلل+لابی من24ساعته

⭕️استخر سونا جکوزی جیم

اطلاعات بیشتر فقط تماس…..

توجه فرمایید *بازدید پس از بررسی تمکن مالی در دفتر امکان پذیر میباشد* موارد مشابه موجود است آدرس دفتر: خیابان میر حدفاصل پل میر و هفت دست نبش کوچه 30 کهنسال شجنب فروشگاه افق کوروش ✨ مهندسی املاک آسپاASPA✨",https://divar.ir/v/آپارتمان۳۰۰متر-مدرن-مجلل-لوکس-مشاعات-آبی-کامل/wZvGQxOi,2025-02-15
آپارتمان صفر,80,3٬200٬000٬000 تومان,40٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,خیر,لطفا توضیحات راکامل بخوانید،اپارتمان طبقه همکف با تخفیف عالی و اینده بسیارعالی،باقیمت عالی ،تک واحدی با بهترین متریال ساخت،کل مجموعه سه واحدمیباشد،راه اختصاصی، نزدیک خیابان اصلی وبادسترسی عالی،الان درمرحله سفت کاری میباشدوانشعابات کشیده شده، و4ماه اینده تکمیل تحویل داده میشود،بدلیل نیاز مالی بالای 20درصد به خریدارواقعی تخفیف داده میشود، ،مبلغ خریداری شده درچند مرحله پرداخت میشود ، ادرس اصفهان خیابان رباط دوم کوچه شریعتی,https://divar.ir/v/آپارتمان-صفر/wZfqbnzl,2025-02-15
فروش زمین 200 متری اراضی شرق بهارستان,Not found,200 متر,2٬100٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,خیر,"زمین جنوبی واقع در بلوک233
بهترین لوکیشن جهت اختصاص انشعابات و ساخت وساز
آماده انتقال در عمران",https://divar.ir/v/فروش-زمین-۲۰۰-متری-اراضی-شرق-بهارستان/wZlChNTs,2025-02-15
فروش آپارتمان 93 متری جنوبی در سیمرغ شاهین شهر گز,93,2٬550٬000٬000 تومان,27٬419٬000 تومان,2,1397,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,بله,"«باسلام و درود»

✅فروش واحد اپارتمان شیک در شهرک سیمرغ
✅طبقه اول جنوبی
✅غرق در نور
✅بدون پرتی
✅تاپ لوکیشن فاز 1

                  ✔️فول امکانات
                     ✔️کابینت MDF درجه 1
                        ✔️کمد دیواری اتاق خواب ها
                           ✔️کاغذ دیواری فول
                              ✔️گاز هود و کولر
                                 ✔️پکیج و رادیاتور 


◀️اپارتمان شخصی ساز و شیک با بهترین متریال 
◀️سند تک برگ اماده انتقال
◀️قابلیت رهن به مبلغ 300/000/000 به عهده املاک 
◀️قابلیت گرفتن وام به مبلغ 640/000/000 میلیون تومان


                ✔️ادرس دفتر
                        شهرک سیمرغ
                               علامه حلی شمالی 
                                       نبش یاس 2/ املاک طهران",https://divar.ir/v/فروش-آپارتمان-۹۳-متری-جنوبی-در-سیمرغ-شاهین-شهر-گز/wZrenb00,2025-02-15
معاوضه ویلایی مصلی270 متر5 خابه,200,270,26٬000٬000٬000 تومان,+4,1390,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,بله,"معاوضه ویلایی مصلی،،270 متری،،5 خوابه ،،درب ساخت = جنوبی ،،ارتفاع = 3 سقف روی پیلوت ,،،پلاک دهم از مصلی،، ///  معاوضه تا 10 ملیارد واحد یا پلاک در ولی عصر یا امیر حمزه یا بهارستان و  باقیمانده پول نقد ،،☀️(( مشاورین املاک خونه به خونه هر نوع عمل ملکی اعم از خرید فروش رهن اجاره طرح اجرا بازسازی کامل صفر تا صد و بازبینی مجدد با مهندسی مطمئن پیگیر و تاثیر گذار با پیشینه طولانی مدت با محیطی امن و آرامش بخش و صادق و البته سریع و فوری با نظم و انضباطی منحصر به فرد و بی نظیر و ایده آل انجام وظیفه می کنند )) ⛅همواره و همیشه خنده بر لبان شما،،در صورت عدم دریافت تماس پیام بگذارید ☀️",https://divar.ir/v/معاوضه-ویلایی-مصلی۲۷۰-متر۵-خابه/wZ05-117,2025-02-15
فروش خانه ویلایی 250 متری 5 خوابه در زینبیه,360,250,111٬111 تومان,+4,1401,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,بله,دوطبقه 250 متروبازیربنا360متر با وطرف کوچه 10و6متری دارای سند وتمام امکانات درمحلی باامنیت بالا فروش هم به صورت یکجا هم جدا تخفیف پای معامله.,https://divar.ir/v/فروش-خانه-ویلایی-250-متری-۵-خوابه-در-زینبیه/wZvK5ehr,2025-02-15
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,خیر,Not Found,Not Found,Not Found
فروش خانه کلنگی 115 متری در رکن الدوله شرقی,Not found,115 متر,5٬500٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,خیر,115 متر زمین که پاک کرده 110 متر میمونه دوطبقه را مجزا کوچه 8 متری مجوز سه طبقه رو پیلوت میدن سند دار,https://divar.ir/v/فروش-خانه-کلنگی-۱۱۵-متری-در-رکن-الدوله-شرقی/wZqqDo5E,2025-02-15
117متر3خواب/سنگ تراشها خاقانی/نور جنوب,117,6٬950٬000٬000 تومان,59٬401٬000 تومان,2,1386,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,بله,"املاک بزرگ قصر سفید 
قاسمی 

به قیمت رسیده زیر قیمت بازار تخفیف جزئی 
طبقه اول با 10پله 
مشاعاتی بی نظیر 
نور جنوب در سالن 
نور جنور در خواب با بالکن 
نور داکت در 2خواب دیگر 
نقشه عالی 
در هر طبقه 2واحد 
پارکینگ سندی 
انباری  سندی 

ادامه توضیحات لطفا تماس …
…………….
قاسمی",https://divar.ir/v/۱۱۷متر۳خواب-سنگ-تراشها-خاقانی-نور-جنوب/gZrLtumJ,2025-02-15
Not Found,85,100,1٬950٬000٬000 تومان,1,1390,Not Found,Not Found,سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,Not Found,خیر,"منزل ویلایی دربست 
1 خواب 
پارکینگ دارد 
بازسازی شده 
قولنامه ای 
قابلیت تبدیل به دو خواب 
آدرس ملک :خیابان آتشگاه خیابان نبوی منش کوچه 108",https://divar.ir/v/فروش-خانه-ویلایی100-متری-۱-خوابه-در-جروکان/wZqSOUyf,2025-02-15
ویلافلت200زمین بنا100متردوخواب مدارک کامل,100,200,2٬200٬000٬000 تومان,2,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری ندارد | بالکن ندارد,خیر,"کد2200

منطقه شمال
خونه باغ
✅200 متر زمین 
✅100 متر بنا 
✅2خواب  
✅شهرکی تکمیل با نگهبانی تمام وقت 
✅محصور کامل
✅سندتکبرگ 
✅فاصله با جنگل پنج دقیقه  
‼️ قیمت کل  2/200 میلیارد
 قابل معاوضه باخودرو

برای اطلاعات بیشترتماس بگیرین
مشاورخانم ساسانیان",https://divar.ir/v/ویلافلت200زمین-بنا100متردوخواب-مدارک-کامل/wZK6DNK4,2025-02-15
آپارتمان197متر/صفرتکمیل/تک واحد/2کله نور/2پارکینگه,197,18٬715٬000٬000 تومان,95٬000٬000 تومان,3,1403,5,6,تعداد واحد در طبقه: ۱ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن,خیر,"«درود برشما» 

✔️آپارتمان 197 متر 
✔️3خوابه
✔️1خواب مستر
✅تک واحدی
✔️دو کله نور(شمالی و جنوبی) 
✅دو تا پارکینگ مسقف 
✔️سالن وسیع 80 متری قابل چینش
✔️تراس قدی سرتاسر سالن کاربردی♦
✔️تراس بزرگ در آشپزخانه ♦
✔️صفر تکمیل شده با بهترین متریال روز 
✔️10 درصد کم سند هم دارد✅
♦لوکیش عالی بر خیابان مبارزان ♦

❌قابل معاوضه با آپارتمان کوچک نهایتا تا 6میلیارد ❌‼️",https://divar.ir/v/آپارتمان۱۹۷متر-صفرتکمیل-تک-واحد-۲کله-نور-۲پارکینگه/wZsuOwps,2025-02-15
آپارتمان 100 متری دو خواب,100,6٬500٬000٬000 تومان,65٬000٬000 تومان,2,1390,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ,خیر,"با سلام .
⚫طبقه اول
●خوش نقشه
●غرق نور.جنوبی
●تراس قابل چیدمان
●فول امکانات
●فروشنده واقعی



*گروه مشاورین املاک کیان*
 *خیابان شریعتی غرب *",https://divar.ir/v/آپارتمان-۱۰۰-متری-دو-خواب/wZwKU1jA,2025-02-15
علی اباد کلنگان,Not found,200 متر,11٬111٬111 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"املاک صفت زاده
بهترین لوکیشن برای سرمایه گذاری دارای پروانه ساختمانی با سند 6دانگ تک برگ باستعلام شهرداری دارایی وجهاد کشاورزی واداره ثبت",https://divar.ir/v/علی-اباد-کلنگان/wZvmSI9t,2025-02-15
11 قطعه زمین مسکونی روستای ولاشان,Not found,260 متر,1٬800٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,11 قطعه زمین مسکونی که 5 قطعه 260 متری دارای پروانه ساخت 2 طبقه به شماره های 2 الی 6 و 6 قطعه 260 متری بدون پروانه ساخت به شماره های 7 الی 12 که روی نقشه مشخص شده است. به آدرس درچه. روستای ولاشان. خیابان حافظ. روبروی کوچه شهید ترکیان.,https://divar.ir/v/۱۱-قطعه-زمین-مسکونی-روستای-ولاشان/wZw2jAdW,2025-02-15
ویلا باغ 50 متری چوبی دوبلکس در بهشت گمشده ایران,53,204,690٬000٬000 تومان,1,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,بله,"برای سرمایه گذاری هیچ وقت دیر نیست
یک فرصت استثنائی برای شما عزیزان
فروش ویلا با شرایط فوق العاده
ویلا/1 خواب/تراس رو به رودخانه و فضای جنگلی
قابل ماهیگیری از تراس ویلا 
هر ویلا دارای اسکله شخصی به همراه قایق
مدارک موجود 
شرایط نقد و اقساط 
دارای درختان مثمر و محوطه سازی شده 
دارای نور پردازی
برای بازدید در کنار شما هستیم 
یک شب تور شهر آبی شامل/ اقامت در ویلاهای مجموعه/ به همراه صبحانه با قایق سواری مهیج مهمان ما هستید 
از خرید تا فروش همراه شما هستیم
جهت کسب اطلاعات بیشتر تماس بگیرید
یا در چت دیوار شماره تماس بزارید
تا فیلم ها و مستندات مجموعه رو براتون ارسال کنم",https://divar.ir/v/ویلا-باغ-۵۰-متری-چوبی-دوبلکس-در-بهشت-گمشده-ایران/wZrITDBX,2025-02-15
آپارتمان 108 متری بر خیابان باهنر,108,4٬950٬000٬000 تومان,45٬833٬000 تومان,2,1395,1,3,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,خیر,"سلام و عرض ادب
فروش اپارتمان 108 متری رو به خیابان اصلی باهنر 
طبقه اول بر روی همکف  8 سال ساخت شیک 
تک واحدی بازسازی کامل با پارکینگ انباری و
اسانسور کل مجموعه 4 واحد دارای اشپزخانه 
دوم و کاملا بازسازی و شیک گرمایش از کف
با پارکینگ اختصاصی و انباری بزرگ .
مالک فروشنده و قیمت کارشناسی.
فروش نقدی و بدون معاوضه.
ممنون از همراهیتون .",https://divar.ir/v/آپارتمان-۱۰۸-متری-بر-خیابان-باهنر/wZva7XZc,2025-02-15
فروش زمین 203 متری در منشیان طرح هادی,Not found,203 متر,1٬000٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,بله,"زمین مسکونی واقع در روستای منشیان 
دارای طرح هادی 
دو کله راه کوچه 10 متری و 6 متری 
کوچه جامعه القرآن",https://divar.ir/v/فروش-زمین-۲۰۳-متری-در-منشیان-طرح-هادی/wZwSlipo,2025-02-15
فروش آپارتمان 55 متری 1 خوابه 2طبقه در زینبیه,55,1٬850٬000٬000 تومان,33٬636٬000 تومان,1,1400,2,2,سند: قول‌نامه‌ای | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,بله,سلام محله بی سیم خانه دو طبقه 55متر زمین که رو هم 110متر میشه راه جدا امکانات کامل جایی دو تا پارک ماشین کنار خانه پروانه ساخت دارد سند قولنامه محله امنیت بالا همسایه ها بومی فریدن فروش فوری,https://divar.ir/v/فروش-آپارتمان-۵۵-متری-۱-خوابه-2طبقه-در-زینبیه/wZwOTzJg,2025-02-15
2300 متر زمین مناسب جهت احداث باغ‌ویلا، سالن مراسم,Not found,2٬300 متر,11٬111٬111٬111 تومان,Not found,Not found,Not Found,Not Found,not found,not found,خیر,فروش زمینی به مساحت 2300 متر مربع در منطقه عاشق آباد شهر اصفهان، افراز پذیر به مفرزهای کوچکترجهت ساخت واحدهای مسکونی، ایده‌آل برای سرمایه‌گذاری، احداث باغ و ویلا، و برگزاری مراسمات. منطقه این زمین از زیبایی طبیعی و آرامش بی‌نظیری برخوردار است. مناسب برای انجام پروژه‌های متنوع. این فرصت را از دست ندهید!,https://divar.ir/v/۲۳۰۰-متر-زمین-مناسب-جهت-احداث-باغ-ویلا-سالن-مراسم/QZ9bOJ3o,2025-02-15
فروش خانه ویلایی 150 متری 4 خوابه در لاله,250,150,9٬000٬000٬000 تومان,4,قبل از 1370,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,بله,"سلام 
دوطبقه با 17 متر مغازه تجاری 
بر اتوبان 
از فلکه لاله 300 متر وارد اتوبان فرودگاه بعد از پست لاله نرسیده به کوچه مخابرات 
سند تک برگ",https://divar.ir/v/فروش-خانه-ویلایی-۱۵۰-متری-۴-خوابه-در-لاله/wZvSFfYN,2025-02-15
