title,property size,total price,price per metr,room count,build year,floor count,total floor,characteristics,features,description,url,crawl date
37 متر تک واحدی طبقه دوم,37,1٬650٬000٬000 تومان,44٬594٬000 تومان,1,1385,2,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن ندارد | جنس کف موکت | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,">>>>>>>>Ehsan Raji<<<<<<<<

                  (این آخرین بازدید شماست)

37 متر 1 خوابه
آشپزخانه پر کابینت
سالن مربع بدون یک سانت فضای پرت
اتاق کاربردی با کمد دیواری
نورگیر عالی
همراه با انباری
تک واحد
دسترسی به مراکز خرید

قابلیت دریافت وام تا 960 میلیون بدون دوندگی
در رهن 130 میلیون با 4.500 میلیون اجاره تا آبان
نقدینگی از شما فقط 560 میلیون 

             (کلید خوشبختی ، در دستان ماست)

مشاور تخصصی امور ملکی در منطقه 
احسان راجی
املاک موسوی (کلبه)",https://divar.ir/v/۳۷-متر-تک-واحدی-طبقه-دوم/wZfeTiJ2,2025-02-15
فروش آپارتمان 69 متری مشاعت نوسازی,69,2٬090٬000٬000 تومان,30٬289٬000 تومان,2,1398,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✅️از اولین تماس تا اخرین تماس 
 ((املاک مهدی ))همراه شماست ✅️

‼️✅️رزمه معتبر و قابل استعلام از اتحادیه املاک 

‼️✅املاک بزرگ مهدی با 13سال سابقه فعالیت موفق درحوضه ی سرمایه گذاری و خرید فروش ملک 
______________>>__________
⚜️تضامین املاک مهدی برای سزمایه گذران : 

1️⃣تضمین اصل سرمایه شما با سند تک برگ و مبایعه نامه 

2️⃣تضمین پرداختی های شما ب صورت مکتوب توسط مدیر مجموعه
 
3️⃣انجام تمام استعلامات شهداری و دارایی توسط املاک
___________________________
✅️روند سرمایه گذاری : 
خرید فروش ملک های نقلی زیر قیمت 
خرید فروش در یک پروسه یک ماه 
وام زوجین : 640 میلیون 
وام انفرادی : 400 میلیون 
__________________________
✨خوش نشین روبه نما  
✨سند تک برگ  
✨متریال در خور سازه لوکس 
✨بدون پرتی
✨سالن پرده خور
✨پلان استثنایی(غرق نور)
✨رنگ + کاغذ دیواری
✨کناف کاری شده
✨مشاعات تمیز+امکانات
___________________________
سودما در سود رساندن به شماست..
           ((منتظر تماس شما هستیم))",https://divar.ir/v/فروش-آپارتمان-۶۹-متری-مشاعت-نوسازی/wZwuF67g,2025-02-15
220 متر فرمانیه برج باغ(ویو عالی بدون مشرف),220,73٬870٬000٬000 تومان,335٬772٬000 تومان,4,1400,9,10,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم موتورخانه,"220 متر 2جهت نور مستقیم بدون پاسیو✅
ویو جنوب و شرق بدون مشرف✅
ارتفاع سقف 4 متر/
500 متر لابی ،لابی من 24 ساعته✅
مشاعات کاملا هتلینگ،تمامی مشاعات فعال✅
3پارکینگ باکس سندی✅
تراس قابل چیدمان با ویو عالی✅
مشاور شما جعفری ***********",https://divar.ir/v/۲۲۰-متر-فرمانیه-برج-باغ-ویو-عالی-بدون-مشرف/wZfW3a_7,2025-02-15
50متر بدون پرتی بدون1ریال خرج/سندتک برگ/قیمت کل,50,2٬650٬000٬000 تومان,53٬000٬000 تومان,1,1397,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"به نام خالق هستی


●باسلام آقای شرافت هستم کارشناس امور فروش ملکی

°°°°°°°°°°°°°°°°°°°°°°°°°°°°
✅️فروش واحد نقلی و لوکس – فرصت ویژه برای سکونت یا
✨️ سرمایه‌گذاری!
••○○•••••○○•••••••○○•••••••○○○
✨️آپارتمان 48متری، یک‌خوابه، نوسازی خوش‌نقشه با طراحی مدرن و نورگیری عالی.

⭕️ویژگی‌ها:
✅ کف پارکت درجه‌یک، سقف کناف با نورپردازی شیک
✅ آشپزخانه مدرن با کابینت‌های های‌گلاس و هود لمسی
✅ سرویس بهداشتی لوکس با تجهیزات برند
✅ بالکن دلباز با ویو عالی

⭕️ امکانات:
✨️، پارکینگ اختصاصی، انباری
✨️محیطی آرام و امن
✨️ دسترسی سریع به ، اتوبوس و مراکز خرید

 فرصت محدود! برای بازدید و اطلاعات بیشتر تماس بگیرید.",https://divar.ir/v/۵۰متر-بدون-پرتی-بدون1ریال-خرج-سندتک-برگ-قیمت-کل/wZvCoOX-,2025-02-15
کردستان جانبازان 145متر سه خواب( کلیدنخورده),143,25٬200٬000٬000 تومان,176٬223٬000 تومان,3,1399,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"⚜️مسکن بزرگ مازیار⚜️

145متر_کلید نخورده
سه خواب_خواب مستر
رو به افتاب_سالن پرده خور 
پنجره های قدی
پلان تفکیکی_بدون پرتی
لابی شیک
دو‌پارکینگ سندی
فرعی دنج منطقه(اعیان نشین)
فروشنده واقعی

✔️مشاور امور ملکی:سعید مرادی


✅ حضور فعال ما درمنطقه=اعتبارما✅",https://divar.ir/v/کردستان-جانبازان-۱۴۵متر-سه-خواب-کلیدنخورده/wZnmzuwN,2025-02-15
آپارتمان 77 متری 2 خواب فول,77,10٬500٬000٬000 تومان,136٬363٬000 تومان,2,1392,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"آپارتمان 77 متری فول بسیار خوش نقشه و شیک
 دارای بهترین پارکینگ اختصاصی ساختمان و انباری
فرعی و ساختمان دنج و خلوت 
نور گیر عالی با سالن پرده خور
دارای حیاط خلوت بزرگ و اختصاصی
بدون نیاز به کوچکترین هزینه
موقعیت و دسترسی عالی
ساختمان توسط سازنده با تجربه  محل ساخته شده
تخفیف همزمان با قرارداد",https://divar.ir/v/آپارتمان-۷۷-متری-۲-خواب-فول/wZw-0bMx,2025-02-15
آپارتمان58متر/دو خواب/تک واحدی/تاپ لوکیشن/گمرک,58,2٬800٬000٬000 تومان,48٬275٬000 تومان,2,1396,4,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,".        ‼️فروش فوری‼️فروش فوری‼️فروش فوری‼️
         ⭕تا قبل از تورم سال جدید صاحب خانه شوید⭕
                   ‼️ساختمان کم جمعیت و ارام‼️

⚜️آپارتمان 58 متری

⚜️تک واحدی

⚜️دو خواب بزرگ

⚜️کنتر آب،برق،گاز جدا

⚜️آماده تحویل 

⚜️ساختمان کم جمعیت و آرام

⚜️کوچه دنج و ساکت

⚜️بهترین کوچه منطقه«تاپ لوکیشن»

⚜️گذر کوچه پهن و ماشین رو

............................⭕امکانات واحد تکمیل⭕............................

〽️کابینت درجه یک
    〽️هود 
〽️گاز رومیزی 
    〽️کمد دیواری بزرگ 

 ❌دسترسی به مترو و بی آر تی «کمتر از 5 دقیقه»❌
❌دسترسی به بازار و فروشگاه های زنجیره ای کمتر از«5دقیقه»❌

لایق✔️
بازدید از شما قرارداد از ما✔️
برای دریافت اطلاعات و تایم بازدید تماس حاصل فرمایید✔️",https://divar.ir/v/آپارتمان۵۸متر-دو-خواب-تک-واحدی-تاپ-لوکیشن-گمرک/wZwqVwQf,2025-02-15
آپارتمان 62متر/2خ/فول/نوساز,62,6٬990٬000٬000 تومان,112٬741٬000 تومان,2,1403,3,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"⚜️مهندسین و مشاورین املاک و مستغلات کویر 
بهترین ها و به قیمت ترین هارا از ما بخواهید⚜️

آپارتمان 62متری/2خواب
فول امکانات/نوساز 
2 واحدی /طبقه سوم
واحد فوق العاده مطلوب برای زندگی 
متریال عالی 
سازنده خوش نام  و قدیمی 
سالن پرده خور با نور فراوان /چیدمان عالی 
دسترسی خوب 
محدوده نارمک جنوبی چهارراه تلفن خانه

مناسب سرمایه گذاری (900رهن ،960 وام )
برای کسب اطلاعات بیشتر،تماس بگیرید 
مشاور شما در منطقه: وِسام بهار 
ادرس دفتر املاک :نارمک،خ سامان،پلاک44،املاک کویر",https://divar.ir/v/آپارتمان-۶۲متر-۲خ-فول-نوساز/wZrqRWfd,2025-02-15
850 متر / محدوده آریاشهر,Not found,850 متر,170٬000٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"850 متر بر 20
2300 متر بنای مفید
تک مالک
فروش نقدی یا 50 درصد تهاتر آپارتمان منطقه

فایل شخصی میباشد و توضیحات دارد

املاک نیک نام
مدیریت نکونام",https://divar.ir/v/۸۵۰-متر-محدوده-آریاشهر/wZv-gkX_,2025-02-15
شیرکوه / نوساز / 220 متر / سازه برند / تک‌ برگ,220,95٬000٬000٬000 تومان,431٬818٬000 تومان,3,1403,2,6,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم موتورخانه,"✅ 220 متر از سازنده برند ‌زعفرانیه 
✅ تاپ لوکیشین زعفرانیه شیرکوه 
✅ نوساز / سند تک برگ شخص 

✅ 2 پارکینگ سندی 
✅ مشاعات و لابی فول مجلل 
✅ سازه ای در خور تحسین 

جهت‌ موارد مشابه تماس حاصل فرمایید 
آرمان * مسکن پلان زعفرانیه *",https://divar.ir/v/شیرکوه-نوساز-۲۲۰-متر-سازه-برند-تک-برگ/wZwmFJzZ,2025-02-15
110متری2خوابه درطوقانی/فایل شخصی/بدون‌مشابه,110,11٬180٬000٬000 تومان,101٬636٬000 تومان,2,1387,2,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"سند تک برگ شخصی 
قابلیت دریافت وام
5طبقه2واحدی
طبقه دوم بدون دیوار مشترک
سالن و اتاق خواب ها خطی روبه افتاب

بدون کوچکترین پرتی با قابلیت چیدمان 3 دست مبلمان 

مالک100٪فروشنده بدون شرط
ملک تخلیه وبازدید با هماهنگی قبلی

کارشناس‌فروش با7 سال سابقه مهندس اریا",https://divar.ir/v/۱۱۰متری۲خوابه-درطوقانی-فایل-شخصی-بدون-مشابه/wZnegNot,2025-02-15
240 متر چهار خواب مستر سوئیت مجزا تاپ گیشا,240,65٬000٬000٬000 تومان,270٬833٬000 تومان,4,1403,3,5,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"240 متر چهار  خواب  مستر
تک  واحدی
مشاعات  کم  نظیر
ورودی  از لابی
روف گاردن  کم نظیر
تمام  متریال  ساختمان  برند
شخصی  ساز
دو پارکینگ  سندی  ولی تا  سه ماشین  تامین
منطقه  عیان  نشین  گیشا
تک  بازدید   
سوئیت  مجزا
بخشی از مرلغ ت6وتر  با  واحد  در منطقه
شرایط پرداخت  عالی
موارد مشابه در متراژ مختلف  از یک تا چهار خواب
تهاتر نوساز  با  قدرو سهم  دار  و بر عکس",https://divar.ir/v/۲۴۰-متر-چهار-خواب-مستر-سوئیت-مجزا-تاپ-گیشا/wZLyZDOz,2025-02-15
133متر3 خواب سعادت آباد نوساز /فروش/,133,24٬500٬000٬000 تومان,184٬210٬000 تومان,3,1402,3,5,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش اسپلیت | تأمین‌کننده آب گرم پکیج,5طبقه تکواحدی.طبقه سوم .فول امکانات .مستر.نورنقشه دیدعالی.سندتکبرگ.فروشنده واقعی,https://divar.ir/v/133متر3-خواب-سعادت-آباد-نوساز-فروش/wZwmlDEl,2025-02-15
آپارتمان80متری2خوابه صفرکلیدنخورده تهرانپارس غربی,80,9٬000٬000٬000 تومان,112٬500٬000 تومان,2,1402,5,5,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"املاک حمید املاک حمید املاک حمید
متراژ 80مترمربع صفرکلید نخورده 
دوخوابه
کف سنگ ولمینت
پارکینگ آسانسور انباری
نوساز صفرکلید نخورده 
خوش نقشه 
مهندسی ساز
بازدید بدون محدودیت 
قیمت9,000,000,000تومان",https://divar.ir/v/آپارتمان۸۰متری۲خوابه-صفرکلیدنخورده-تهرانپارس-غربی/wZwelBQA,2025-02-15
آپارتمان 116 متری 3 خوابه ارکیده شهرک شهید بهشتی,116,11٬200٬000٬000 تومان,96٬551٬000 تومان,3,1395,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✔️برج های لوکس ارکیده 
✔️116 متر 3 خوابه 
✔️سه نبش 
✔️ویو باز و ابدی
✔️فول امکانات برج 
✔️لابی و لابی من شبانه روزی 
✔️سالن اجتماعات 
✔️سیستم سرمایش و گرمایش چیلر مرکزی 
✔️سیستم اعلان و اطفا حریق هوشمند 
❇️❇️واحد فوق به مدت 10 ماه با مبلغ 400 میلیون رهن و 29 اجاره در رهن و اجاره میباشد
✔️فروشنده واقعی 
✔️جهت کسب اطلاعات بیشتر و اطلاع از موارد مشابه با ما تماس بگیرید 
♻️مشاورین مسکن ایرانیان",https://divar.ir/v/آپارتمان-۱۱۶-متری-۳-خوابه-ارکیده-شهرک-شهید-بهشتی/wZVqu9mw,2025-02-15
53متر فول امکانات مخصوص سرمایه گذاری,53,2٬300٬000٬000 تومان,43٬396٬000 تومان,1,1391,5,5,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"53متر تک خواب
5طبقه 3 واحدی
طبقه پنجم
امکانات : 
✅️پارکینگ باکس سندی غیرمزاحم
✅️انباری سندی
✅️اسانسور
✅️بالکن
✅️ویو بدون مشرف
✅️دوربین مدار بسته
✅️سرایدار مقیم
✅️فاصله تا مترو یک دقیقه
قابلیت 300 رهن
قابلیت وام زوجین
✅️200 میلیون پارکینگ جدا محاسبه میشود✅️ 
مشاور : سام خداوردی",https://divar.ir/v/۵۳متر-فول-امکانات-مخصوص-سرمایه-گذاری/wZsm2eRx,2025-02-15
آپارتمان 94 متری نورگیر عالی,94,10٬300٬000٬000 تومان,109٬574٬000 تومان,2,1398,5,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"توضیحات 

✅️خریدی به یادماندنی در شب عید 

✅️94 متر 2 خواب در بهترین فرعی طرشت 
✅️پذیرایی خوب قابل چیدمان 
✅️نورگیر فوق‌العاده نقشه خوب 

اولین بازدید = خریدی خوب 

قابلیت رهن تا 1200 با ما 

مشاور شما رامین اکبری 

املاک پازل چهاراه طرشت پلاک 41",https://divar.ir/v/آپارتمان-۹۴-متری-نورگیر-عالی/wZwy1sVu,2025-02-15
107 متر/2 خواب/سندتک برگ/شهرک الهیه غرب/شریف,107,10٬100٬000٬000 تومان,94٬392٬000 تومان,2,1400,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"واحد خوش نقشه بی نقص
جنوبی غرق درنور 
دوخواب مستر 
شخصی ساز 
سندتک برگ 
مشاورشمامهسا خرم",https://divar.ir/v/۱۰۷-متر-۲-خواب-سندتک-برگ-شهرک-الهیه-غرب-شریف/wZmmPKEs,2025-02-15
175 متر تکواحدی با 2پارکینگ,175,21٬000٬000٬000 تومان,120٬000٬000 تومان,3,1400,2,5,تعداد واحد در طبقه: ۱ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"175 متر 3خواب 
تکواحدی 
نور ونقشه عالی 
2پارکینگ سندی 
فروشنده واقعی 
تماس تا10 شب 
با 15سال تجربه در امور ملکی آماده ارائه خدمات تخصصی در زمینه املاک",https://divar.ir/v/۱۷۵-متر-تکواحدی-با-۲پارکینگ/wZX20sfY,2025-02-15
فروش آپارتمان 105 متر فول / بازسازی شده درقیطریه,105,16٬000٬000٬001 تومان,152٬380٬000 تومان,2,1386,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری,"► با سلام خدمت شما بازدید کننده گرامی ◄


◉ توضیحات واحد فوق :


ساختمانی با اصالت و بسیار تمیز و روپا


105 متر بسیار خوش نقشه بدون پرتی 
▪️ 2 خواب  مربع و بزرگ
▪️ نور شمال و جنوب 
▪️ ورودی از لابی شیک
▪️ صفر تا صد نوسازی شده با متریال مرغوب
▪️ سرایدار مقیم و امنیت بسیار بالا 
▪️ سند شخصی بدون ریشه 
▪️ دسترسی آسان به پارک و بزرگراه ها و ...
———————————————
✖ برای توضیحات تکمیلی و مشاهده عکس ها کافیست با بنده تماس بگیرید
———————————————
✤ از ساعت 9 الی 23 پاسخگوی شما عزیزان هستم ✤
———————————————
✤ خانم سلیمانی مشاور تخصصی منطقه1",https://divar.ir/v/فروش-آپارتمان-۱۰۵-متر-فول-بازسازی-شده-درقیطریه/wZg2M_as,2025-02-15
63 متری 1 خوابه ماندگار *(( کهریزک/,63,1٬850٬000٬000 تومان,29٬365٬000 تومان,1,1398,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ ندارد | انباری,"✅️از اولین تماس تا اخرین تماس 
 ((املاک مهدی ))همراه شماست ✅️

‼️✅️رزمه معتبر و قابل استعلام از اتحادیه املاک 

‼️✅املاک بزرگ مهدی با 13سال سابقه فعالیت موفق درحوضه ی سرمایه گذاری و خرید فروش ملک 
______________>>__________
⚜️تضامین املاک مهدی برای سزمایه گذران : 

1️⃣تضمین اصل سرمایه شما با سند تک برگ و مبایعه نامه 

2️⃣تضمین پرداختی های شما ب صورت مکتوب توسط مدیر مجموعه
 
3️⃣انجام تمام استعلامات شهداری و دارایی توسط املاک
___________________________
✅️روند سرمایه گذاری : 
خرید فروش ملک های نقلی زیر قیمت 
خرید فروش در یک پروسه یک ماه 
وام زوجین : 640 میلیون 
وام انفرادی : 400 میلیون 
__________________________
✨خوش نشین روبه نما  
✨سند تک برگ  
✨متریال در خور سازه لوکس 
✨بدون پرتی
✨سالن پرده خور
✨پلان استثنایی(غرق نور)
✨رنگ + کاغذ دیواری
✨کناف کاری شده
✨مشاعات تمیز+امکانات
___________________________
سودما در سود رساندن به شماست..
           ((منتظر تماس شما هستیم))",https://divar.ir/v/فروش-آپارتمان-۶۳-متری-۱-خوابه-ماندگار/wZwe07PA,2025-02-15
آپارتمان 71متر*کارون*غرق نور*سالن مربع*فول باسازی,Not Found,3٬950٬000٬000 تومان,Not Found,2,Not Found,Not Found,Not Found,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,Not Found,Not Found,Not Found
فروش آپارتمان 156 متری 3 خوابه در کوی فراز,156,25٬000٬000٬000 تومان,160٬256٬000 تومان,3,1393,9,11,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش اسپلیت | تأمین‌کننده آب گرم پکیج,"فروش آپارتمان 156متر 3خوابه در کوی فراز نور گیر عالی 
ویو به هتل اسپیناس 
فضای مجتمع پارک برای بچه ها",https://divar.ir/v/فروش-آپارتمان-۱۵۶-متری-۳-خوابه-در-کوی-فراز/wZweG2S1,2025-02-15
110 متر/سالن پرده خور/سازمان برنامه شمالی,110,12٬950٬000٬000 تومان,117٬727٬000 تومان,2,1395,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"قابل توجه سرمایه گذاران محترم

قیمت شکسته شده حداقل 20درصد زیر قیمت منطقه

خوش نقشه و نورگیر 

بدون پرتی
 

فول امکانات 

مشاعات عالی

لوکیشن بی نظیر 

کوچه ی دنج و مشجر 

دسترسی راحت به شریان های اصلی و مراکز خرید

فایل کاملا شخصی 

همکاران محترم لطفا تماس نگیرید .

همین حالا تماس بگیرید 

مشاور و امین شما در امر خرید آپارتمان : قریشی",https://divar.ir/v/۱۱۰-متر-سالن-پرده-خور-سازمان-برنامه-شمالی/wZXqZ8Pk,2025-02-15
159 متر با دسترسی عا.لی و نقشه تفکیکی,159,47٬700٬000٬000 تومان,300٬000٬000 تومان,3,1403,6,7,تعداد واحد در طبقه: ۴ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی فرنگی | سرمایش فن کوئل | گرمایش فن کوئل | تأمین‌کننده آب گرم موتورخانه,"159 متر کلید نخورده
سه خواب
یک مستر
دو پارکینگ باکس 
مشاعات: لابی و لابی من 24 ساعته ، سونا جکوزی و سالن ورزش ، سالن اجتماعات و .....
سال ساخت 1403",https://divar.ir/v/159-متر-با-دسترسی-عا-لی-و-نقشه-تفکیکی/wZwCG22K,2025-02-15
* 54 * متر شمال خواجه عبدالله,54,6٬500٬000٬000 تومان,120٬370٬000 تومان,2,1384,1,3,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"شمال خواجه عبدالله 

فرعی دنج 

تکواحدی 

غرق نور 

بدون مشابه در منطقه 

کلید نزد املاک 

املاک دی پیشرو در کلیه ی امور ملکی در مناطق 1_3_4 
خط ویژه : 26702020",https://divar.ir/v/۵۴-متر-شمال-خواجه-عبدالله/wZw6lvd6,2025-02-15
قلب تهران/124متری‌کا‌سبی/نورگیر/کلیدنخورده سنددار,124,4٬590٬000٬000 تومان,37٬016٬000 تومان,2,1403,8,15,تعداد واحد در طبقه: ۸ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف کفپوش PVC | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"واحد 124 متری دو و سه خوابه واقع در طبقه 8 برج وی آی پی خاتم 2

واقع در غرب منطقه 22 تهران (شهرک الهیه)

یک منطقه رو به رشد با سیاست شهرسازی اصولی و کاملا نوساز
دسترسی کامل به مراکز درمانی ، مترو ، مراکز تفریحی و شاهراه های اصلی تهران

پرداخت اقساطی در راستای طرح دولت برای انبوه سازان و برج نشینی در شهر تهران

تحویل قطعی سال آینده (1404) ساله با قید خسارت ضرر و زیان و ضمانت محضری

قرارداد مورد تایید سازمان انبوه سازان و صدور شناسه مالی بابت تمام پرداختی ها در سامانه انبوه سازی

برای پرسیدن سوالات خود در رابطه با شرایط خرید و با کارشناس ارشد پروژه (مهندس مقصودی) تماس بگیرید و یا عدد 5 را در چت دیوار ارسال کنید .",https://divar.ir/v/قلب-تهران-۱۲۴متری-کا-سبی-نورگیر-کلیدنخورده-سنددار/wZVqNBeh,2025-02-15
160 متر برج تهران تاج فاز 2 سرمایه گذاری,160,3٬333٬333 تومان,20٬000 تومان,2,1376,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✅✅بهترین بلوک برجهای شهرک غرب 

160 متر ،2 خواب قابلیت تبدیل به 3 خواب دارد 
✨واحد تمیز 

✨بهترین پلان برجهای شهرک غرب 
✨2 تا بالکن قابل چیدمان 

✨ویو ابدی 3 طرف تهران 
✨سند تکبرگ شده 

❌❌کلید در اختیار 
❌❌فروشنده واقعی 

✨مناسب سکونت و سرمایه گذاری 

❌❌متراژهای 105 ،230 ، 270 و 300 متری برای فروش موجود میباشد ..

✅✅مهندس دارابی ؛ کارشناس تخصصی برجهای شهرک غرب ...",https://divar.ir/v/۱۶۰-متر-برج-تهران-تاج-فاز-۲-سرمایه-گذاری/gZyd93Cw,2025-02-15
60متر،/یکخواب/غیراوقاف,60,5٬700٬000٬000 تومان,95٬000٬000 تومان,1,1390,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری,"*بهترین خریدقبل عید*
60متر/
یکخواب/

فروشنده واقعی
به علت مهاجرت/

سندتک برگ 
غیراوقاف/

طبقه همکف /
مشاور شما مولایی/

مشاورشما مولایی/",https://divar.ir/v/۶۰متر-یکخواب-غیراوقاف/wZsilKO4,2025-02-15
فروش آپارتمان 107 متری 2 خوابه در  شمس آباد,107,13٬600٬000٬000٬000 تومان,127٬102٬803٬000 تومان,2,1398,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"درود 
شمس آباد میدان ملت
خوش نقشه 
رو به آفتاب 
آپارتمان 107 متر دوخواب 
پارکینگ انباری آسانسور بالکن 
تخلیه کلید نخورده 
13600 قیمت 
کامیار املاک 
سپاس 
بازدید و خرید عالی قبل سال نو",https://divar.ir/v/فروش-آپارتمان-۱۰۷-متری-۲-خوابه-در-شمس-آباد/wZtu7wl3,2025-02-15
