Title,PropertySize,TotalPrice,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
180متر*آپارتمان هتلینگ*اعیان نشین*شکار منطقه,180,15٬400٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"⭕ تاریخ آگهی 1403/11/27
⭕ فرصت استثنایی برای سرمایه گذاری و مالکیت یک آپارتمان لوکس در محله ای اعیان نشین 
⭕ با یک تماس مالک این ملک رویایی شوید‼️

⚜️ کف سنگ اسلب الیگودرز 2*2
⚜️ پنجره ترمال بریک اکپا کف تا سقف 
⚜️ شیرآلات توکار KWC 
⚜️ 2 تراس کاربردی قابل چیدمان 
⚜️ آسانسور کابین 10 نفره فول پک اروپایی
⚜️روف گارن 4 فصل آلاچیق ، باربیکیو 
⚜️ نما سنگ عباس آباد و سوپر بلک

♦️ این قیمت فقط به مدت 48 ساعت آینده اعتبار دارد‼️

♦️ تمامی فایلینگ منطقه 9 ، 11 و 1 با هر رنج قیمتی مدنظر شما را فقط از ما بخواهید 

♦️ کارشناس امور ملکی شما: دهقان",https://divar.ir/v/180متر-آپارتمان-هتلینگ-اعیان-نشین-شکار-منطقه/wZtGdEdC,2025-02-15
ویلایی251م حاشیه10جنوبی تراکم زیادامام رضا53معبر20,400,252,4,1388,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش بخاری | تأمین‌کننده آب گرم پکیج,"سلام واحترام خاص 

آگهی رو کامل مطالعه بفرمایید 

موارد مشابه فراوان با پروانه از متراژ 100 متر تا 500 متر موجود داریم 

ویلایی 251 متر 

جنوبی 

حاشیه 10 متر 

نزدیک به خیابان امام رضا 

4 واحد مجزا ومستقل دارد 

تراکم زیاد 
گونه یک 
تیپ یک 

قابلیت ساخت 7 سقف

فروش همین مجموعه آپارتمان ها از متری 60 تا 65 میلیون با کارشناسی منطقه 
 
موقعیتی عالی و بی‌نظیر وکمیاب در منطقه 

پارکینگ 
انباری 
حیاط اختصاصی 

سند شش دانگ آماده انتقال 
پایان کار 


فروشنده واقعی واقعی 

آماده عقد قرار داد آنی 

متراژ های متنوع و عالی با حاشیه دلخواه  موجود میباشد 

آپارتمان از 50 متر تا 240 متر جنوبی وشمالی موجود میباشد 

موقعیت ملک خیابان 20متری خیابان امام رضا وخیابان امام خمینی نزدیک به میدان پانزده خرداد 

یا حق",https://divar.ir/v/ویلایی۲۵۱م-حاشیه۱۰جنوبی-تراکم-زیادامام-رضا۵۳معبر۲۰/wZIaxhDu,2025-02-15
آپارتمان خوش نقشه/خامنه ای/آخوند خراسانی/سرشور,143,12٬500٬000٬000 تومان,3,1403,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش از کف | تأمین‌کننده آب گرم پکیج,"به نام خدا
         هیچ جا خونه ی خودِآدم نمیشه       
کارشناس فروش تخصصی ملک محدوده حرم مطهر : صباح
_________________________
⛔️ اگه دنبال یه خونه ای میگردی که بتونی از تو خونت حرمو ببینی این فایل رو از دست نده  ⛔️

● نما سنگ و کلاسیک
● 143 متر 3 خواب (2مستر)
● ویو حرم از پذیرایی و خواب ها
● محله ای اصیل و دنج
● نزدیک به حرم مطهر و خارج از پیک ترافیکی
● سند شش دانگ ملکی آماده انتقال
● پیاده روی کمتر از 10 دقیقه تا حرم مطهر
● هود و گاز برند CAN 
● شیرآلات گلد
● پارکینگ اختصاصی و بدون مزاحم
● سرایداری و نگهبانی شبانه روزی

دسترسی آسان به (مراکز تجاری، بازار، درمانگاه، مترو، Brt و ...)
          ■ از ما بخواهید و به ما بسپارید ■",https://divar.ir/v/آپارتمان-خوش-نقشه-خامنه-ای-آخوند-خراسانی-سرشور/wZwqUkMI,2025-02-15
آپارتمان 78 متر 2 خوابه دانشجو,78,3٬180٬000٬000 تومان,2,1384,3,3,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"سلام
________________________________
آپارتمان 78 متر 2 خوابه 

لوکشن بسیار عالی نزدیک ب بلوار فرهنگ و معلم

3 طبقه 7 واحد طبقه 3 بدون آسانسور 

دارای پارکینگ انباری تراس 

سند 6 دانگ ملکی

برای کسب اطلاعات بیشتر و بازدید فقط تماس 

مشاور شما: عرفانی 

املاک آروان بین دانشجو 12و14",https://divar.ir/v/آپارتمان-۷۸-متر-۲-خوابه-دانشجو/wZsu9eWq,2025-02-15
تاپ لوکیشن معاد/تک واحدی/قیمت شکسته شده,160,9٬320٬000٬000 تومان,3,1393,3,5,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"سلام 
خانم نویدی هستم مشاورهمیشگی شما

آپارتمان مسکونی 
160متر
تک واحدی 
معاد8

شمالی 
فول امکانات 
بازسازی شده
خوش نقشه
نورعالی

فروشنده واقعی 
قیمت تا پایان بهن ماه 
زیرفی منطقه 
بازدید=پسند 

همکاران گرامی تماس نگیرید 
(فایل انحصاری و شخصی )
فقط تماس بگیرید 
فروش فقط نقدی و قیمت مقطوع

خانم نویدی 
آدرس دفتر :امامت 48 پلاک9",https://divar.ir/v/تاپ-لوکیشن-معاد-تک-واحدی-قیمت-شکسته-شده/wZtKal0h,2025-02-15
110 متر / صفر کلید نخورده / سازنده برند,110,5٬900٬000٬000 تومان,2,1403,2,6,تعداد واحد در طبقه: ۲ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"باسلام و احترام 

امیرگلابچی 
( دانشجو پرستاری / مشاور لاین فروش مسکن متین)
با 4 سال سابقه امین شما و صادقانه همراهتونم

    مسکن متین | چهاراه صیاد | نبش پیروزی 65

⭕ فعالیت تخصصی در رنج ( 4 تا 7 تومن )
⬅️ تمام فایل های ((صفر)) منطقه رو داریم 

✅ 110 متر / 2 خواب 
⚜️ نقشه عالی و نورگیر درجه 1 / بدون پرتی 
✅ لوکیشن اقبال 
⚜️ بهترین موقعیت حاشیه خیابان 
✅ 6 طبقه 12 واحد 
⚜️ پنجره های واحد رو به حاشیه خیابان اصلی
✅ آسانسور / پارکینگ همکف / انباری 

        ⛔ سازنده برند و خوشنام در منطقه ⛔

واحد ریز (( صفر )) ارزنده و دارای ارزش خرید بالا می‌باشد

⛔ همکاران محترم با احترام همکاری نداریم ⛔
مسکن متین
با افتخار پذیرای موارد ملکی شما هستیم 
تو اینستا هم فعالیم | .@",https://divar.ir/v/۱۱۰-متر-صفر-کلید-نخورده-سازنده-برند/wZwilsSi,2025-02-15
چهاراه ورزش 90متر 2خواب تمام نور میلان 20متری,90,2٬540٬000٬000 تومان,2,1388,3,3,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,"باسلام طبقه سوم 
بدون مشرف
طبقه سوم 
تمام نور
پارکینگ 
انباری
درب برقی
میلان 20متری 
سند آماده
جهت بازدید مقابل حسابی شمالی 3و5روبه روی فروشگاه هفت مسکن اکبریان",https://divar.ir/v/چهاراه-ورزش-۹۰متر-۲خواب-تمام-نور-میلان-۲۰متری/wZiCD9Zk,2025-02-15
آپارتمان90متری/تک واحدی/کامیاب/سنددار/فول,90,3٬190٬000٬000 تومان,2,1392,1,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"با سلام 
       ✩✩املاک ستاره شهر بین کریمی14و16✩✩
⭕یک واحد آپارتمان90متری..2خوآب..طبقه1...سنددار⭕
⭕میلان 12متری..واقع در سطوتی...کلن4طبقه...⭕
⭕تکواحدی..پارکینگ اختصاصی..اسانسور..انباری...⭕
⭕دسترسی به مراکز خرید... و ایستگاه اتوبوس...⭕
⭕تخلیه فوری..قابلیت رهن تا 350...بدون واسطه..⭕
⭕تخفیف پای قرار  داد..موارد مشابه موجود است...⭕
⭕فقط به صورت نقدی...قابلیت وام..بازدید با هماهنگی..⭕
⭕موارد مشابه موجود است....فقط تماس بگیرید...⭕
مشاوره شما(باجلایی)",https://divar.ir/v/آپارتمان90متری-تک-واحدی-کامیاب-سنددار-فول/wZom0ZFx,2025-02-15
75متری صفر تا صد بازسازی شده قبل پیروزی,75,3٬290٬000٬000 تومان,2,1387,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف پارکت چوب | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"املاک شریف
معتمد شما مرتضی نیا 

لوکیشن اقبال قبل پیروزی
صفرتاصد بازسازی شده 
کف پارکت چوب کابینت های گلس ترک

75متر طبقه اول جنوبی
بسیار خوش نقشه 
پذیرایی و خواب ها دارای نور طبیعی
پارکینگ انباری
سند ششدانگ 

موارد مشابه موجود می‌باشد",https://divar.ir/v/۷۵متری-صفر-تا-صد-بازسازی-شده-قبل-پیروزی/wZtC6NcA,2025-02-15
فروش‌اپارتمان 110متر/سند تک برگ/تخلیه/اول‌ رحمانیه,115,4٬000٬000٬000 تومان,2,1398,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"سلام 
واحد سند دار قابلیت وام گرفتن 
تخلیه
اوایل رحمانیه
دوربین 
و…

بازدید ازاد",https://divar.ir/v/فروش-اپارتمان-۱۱۰متر-سند-تک-برگ-تخلیه-اول-رحمانیه/wZkqMcMe,2025-02-15
75 متری هاشمیه قبل فکوری/دو خواب سند 6 دانگ ملکی,75,2٬850٬000٬000 تومان,2,1389,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"سلام عکس مربوط به خود ملک میباشد 
75 متری هاشمیه 
قبل فکوری 
2 خواب
کف سرامیک 
کابینت هایگلس 
سرتاسر پذیرایی پنجره غرق آفتاب 
خواب ها نورگیر 
حمام مستر
فول بازسازی 
پارکینگ اختصاصی 
انباری 
کلا 6 واحد 

مشاور شما:خالقی",https://divar.ir/v/۷۵-متری-هاشمیه-قبل-فکوری-دو-خواب-سند-۶-دانگ-ملکی/wZwmTjL-,2025-02-15
135 متر تقاطع حسابی و امام دوست،تحویل 4 ماه,135,4٬600٬000٬000 تومان,3,1403,4,10,تعداد واحد در طبقه: ۴ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,تحویل 4 ماهه ،طبقه 4 دو نبش,https://divar.ir/v/۱۳۵-متر-تقاطع-حسابی-و-امام-دوست-تحویل-۴-ماه/wZ31Y-Jv,2025-02-15
صارمی 170 متر دو‌نبش/مسکن هاشمی,170,7٬500٬000٬000 تومان,3,1392,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"سلام و عرض ادب 

لوکیشن عالی 

معبر 20 متری 

دونبش 

کلا چهار واحد 

دو پارکینگ 

اسانسور

غرق در نور 

خواب‌مستر

اشپز خانه بزرگ 

تراس قابل چیدمان

اطلاعات بیشتر تماس بگیرید
علی آبادی",https://divar.ir/v/صارمی-۱۷۰-متر-دو-نبش-مسکن-هاشمی/wZwyz306,2025-02-15
500متر دور دیوار با امتیازات کامل شاهنامه36,Not found,500 متر,Not found,Not found,Not Found,Not Found,not found,not found,"با سلام 

500متر باغچه دور دیوار 
دارای درختان 10ساله 
ابعاد 12در طول 
ملکی دست اول 
آب برق گاز در محل 
مناسب ساخت و سرمایه گذاری 
مجتمع شهرکی با نگهبانی 
موقعیت شاهنامه36 
با تشکر از توجه شما مشاور شما محمدی",https://divar.ir/v/۵۰۰متر-دور-دیوار-با-امتیازات-کامل-شاهنامه۳۶/wZwOV7dY,2025-02-15
آپارتمان 86 متری / حسابی شمالی 10  / فول,86,3٬100٬000٬000 تومان,2,1400,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش از کف | تأمین‌کننده آب گرم پکیج,"آپارتمان 86  متری 
طبقه اول 
آسانسور دار 
بالکن 
انباری 
پارکینگ اختصاصی 
سند 6 دانگ 
گرمایش از کف 
7 واحدی 
شمالی 
کابینت چوب 
سرامیک 
دو خواب 


نشانی ملک : فلاحی 13 

قابلیت رهن تا 400 میلیون تومان 
قابلیت وام تا 800 میلیون تومان 


⚜معاوضه با واحد تا 4 میلیارد ⚜

⚜⚜⚜مسکن 24 ساعته ⚜⚜⚜
نشانی دفتر : بین فلاحی 13/3 و 13/5 
کارشناس فروش : فخریان",https://divar.ir/v/آپارتمان-۸۶-متری-حسابی-شمالی-۱۰-فول/wZwWlasx,2025-02-15
ویلایی 200 متری کلاهدوز(سند ملکی),240,220,4,قبل از 1370,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"*بسم الله الرحمن الرحیم*

کلاهدوز

✅️ویلایی 220 متری

✅️240 مترزیربنا

✅️بصورت زیر و بالا

✅️شمالی

✅️سند ششدانگ ملکی

✅️تراکم 4طبقه بالای پیلوت

عمارلو",https://divar.ir/v/ویلایی-200-متری-کلاهدوز-سند-ملکی/wZwqEegP,2025-02-15
فروش آپارتمان73 متری2 خوابه در فارغ التحصیلان,73,3٬290٬000٬000 تومان,2,1386,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"فروش فوری آپارتمان 73متری 2 خوابه در فارغ التحصیلان
طبقه 3 جنوبی
رو به افتاب
کف سرامیک، کفپوش
کابینت ام دی اف
دیوار نقاشی
گاز روکار
هود
سرویس بهداشتی ایرانی، فرنگی
آسانسور 
پارکینگ
انباری
بازدید با هماهنگی
بدون واسطه
(مسکن الیت_نبش فارغ التحصیلان12_رضوی)",https://divar.ir/v/فروش-آپارتمان73-متری2-خوابه-در-فارغ-التحصیلان/wZquf1vR,2025-02-15
خانه ویلایی دوطبقه,200,140,2,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"سلام 
خانه ویلایی در دوطبقه 
طبقه پایین مغازه تجاری 
طبقه بالا مسکونی
امتیازات جدا 
آدرس سرآسیاب 
سر نبش 
مدارک قولنامه ای پشت درپشت 
نمای سنگی 
معاوضه با وسیله نقلیه",https://divar.ir/v/خانه-ویلایی-دوطبقه/wZvi7mZO,2025-02-15
آپارتمان 115متر 2خواب سناباد خوش نقشه تک واحد,115,4٬650٬000٬000 تومان,2,1380,2,2,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"املاک محترم لطفا تماس نگیرند
115متر 2 خواب 
طبقه 2  
تک واحدی
دونبش پرنور و خوش نقشه 
قابلیت رهن واحد 
برای بازدید و اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/آپارتمان-۱۱۵متر-۲خواب-سناباد-خوش-نقشه-تک-واحد/wZwqj75e,2025-02-15
اپارتمان 120متری توس 87 .2خواب ،اسانسور پارکینگ,120,1٬100٬000٬000 تومان,2,1403,4,4,تعداد واحد در طبقه: ۱ | سند: قول‌نامه‌ای | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ ندارد | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"اپارتمان 120متر 2خواب 


ادرس اپارتمان انتهای توس 87 نارنحیان 16 لوکشین دقیق است
دوخواب 
اسانسور دارد
دارای کنتور برق و گاز
اب هم دارد
کف سرامیک پرسلان
کمد دیواری
کابینت های گلس
نورگیر عالی
نورپردازی
طبقه چهارم
تک واحدی...200میلیون رهن میکن
واحد در مرحله ساخت میباشد
1100با شرایط سفت کاری مقطوع مقطوع
1250 تکمیل مقطوع مقطوع
توضیحات کامله مورد پسند بود تماس بگیر",https://divar.ir/v/اپارتمان-۱۲۰متری-توس-۸۷-۲خواب-اسانسور-پارکینگ/wZi-fIFi,2025-02-15
105 متر شیک بازسازی شده طبقه اول آبکوه-عطار,105,4٬600٬000٬000 تومان,2,1385,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"مسکن پارسیان نبش آبکوه 25
موقعیت مکانی عالی 
نورگیری عالی 
کف سرامیک 
کابینت هایگلس 
پکیج و کولر آبی
انباری تراس پارکینگ بدون مزاحمت 
موارد مشابه موجود است 
تخفیف پای قرارداد 
رستگاریان-مسکن پارسیان نبش آبکوه 25",https://divar.ir/v/۱۰۵-متر-شیک-بازسازی-شده-طبقه-اول-آبکوه-عطار/wZgyFtJu,2025-02-15
ویلایی مناسب ساخت/جنوبی/خیابان امام رضا/اکبری,320,250,4,قبل از 1370,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن | جنس کف موکت | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"گروه کارشناسان مسکن اکبری
آدرس دفتر:مشهد،خیابان امام رضا ،حدفاصل امام رضا40و42

کارشناس شما:خانم ماکوئی
---------------------------------------------------------
قراردادها توسط تیم حقوقی،همراه با اخذ استعلامات،و ثبت در سامانه کاتب انجام می شود
-------------------------------------------------------------------------------
✔️مساحت 250متر
✔️حاشیه 10متر
✔️جهت ملک جنوبی
✔️بنا 320متر،4واحد مستقل
✔️موقعیت عالی جهت ساخت
✔️قابل ساخت تا7سقف
✔️عرض معبر 20متر
✔️قابل تهاتر تا 30درصد مبلغ،مابقی نقد
✔️کد آگهی 1346
-------------------------------------------------------------------------------
موارد مشابه در قیمت های مختلف 
موجود است
جهت اطلاعات بیشتر و بازدید تماس حاصل فرمائید",https://divar.ir/v/ویلایی-مناسب-ساخت-جنوبی-خیابان-امام-رضا-اکبری/wZwOWgR3,2025-02-15
116 متر2خواب/حاشیه منفرد/ویوابدی باغ/مسترملک»فرجام,Not Found,Not Found,2,1401,4,7,Not Found,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"فرجام هستم مشاور و امین شما    
                        
اولین املاک مرکزی جانباز
️ ️ ادرس دفتر املاک : جانباز 7.نبش منفرد 4
(گروه مشاورین املاک مستر ملک )
«_________________________»
✅ آپارتمان 116 متری _ غرق نور _ تک واحدی
✅ حاشیه خیابان منفرد ، واحد شمالی ، ویو ابدی باغ
✅ کمد دیواری بزرگ در اتاق خواب ها 
✅ پذیرایی بزرگ و بدون پرتی
✅ اتاق خواب های 3 در 4 بزرگ و دلباز
✅ متریال داخلی شیک و شخصی ساز
✅ سرمایش کولر گازی 
✅ گرمایش شوفاژ 
✅پارکینگ / آسانسور / انباری 
✅ دسترسی عالی به تمام امکانات
✅ تمام امتیازات مستقل / قولنامه و وکالت از سند مادر به صورت کاملا مطمئن
⏪قابلیت 500 تومن رهن کامل پای قولنامه
«________________________________»
⬅️برای اطلاعات بیشتر و خرید این واحد همین حالا با من تماس بگیر

          ☘️ مشاور شما : فَرجام 

             (گروه مشاورین املاک مستر ملک )",https://divar.ir/v/۱۱۶-متر۲خواب-حاشیه-منفرد-ویوابدی-باغ-مسترملک-فرجام/wZKqAzTq,2025-02-15
100متر آپارتمان ،هنرستان بعد صارمی تک واحدی,100,5٬650٬000٬000 تومان,2,1390,4,5,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف پارکت لمینت | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"100متر 
✔️2 خواب  ✅ 
⭐تک واحدی ✨
 مشاعات تمیز✅
دوسر نور ، پنجره ها بزرگ 
پارکینگ بدون مزاحمت
 ✅ 
✔️ ✔️
لوکیشن تاپ✅
☘️شمالی✔️
5طبقه ، 5واحد ، ✅ 
لوکیشن تاپ✅ 
تخفیف پای قرارداد",https://divar.ir/v/۱۰۰متر-آپارتمان-هنرستان-بعد-صارمی-تک-واحدی/wZtqPAMW,2025-02-15
زمین هزار متری/کاهو/گوهردشت/دور دیوار,Not Found,Not Found,Not Found,Not found,Not Found,Not Found,not found,Not Found,"زمین 1000 متری
دور دیوار 
با نگهبانی 24 ساعته
کوچه جدول کشی و خیابان اسفالت
نزدیک مترو
امتیازات اب و برق تعلق میگیرد 
سند تعلق میگیرد 
عرض زمین 13 متر
تهاتر با خودرو 206 یا 207
الباقی نقد 

کامران چاهجویی 
مشاور تخصصی خرید و فروش ملکی",https://divar.ir/v/زمین-هزار-متری-کاهو-گوهردشت-دور-دیوار/wZIObe-R,Not Found
سیدرضی قبل فرهنگ/170متر/5واحدی,170,7٬500٬000٬000 تومان,3,1388,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"((مسکن سی نور نبش فرهنگ16))
____________________
فروش این واحد انحصاری در دفتر املاک سی نور 
اپارتمان فوق العاده خوش نقشه 
موقعیت عالی نزدیک به مترو و وکیل اباد 
مشاعات تمیز 
پذیرایی و اشپز خانه بزرگ 
تراس سر اشپز خانه 
کف سرامیک 
کابینت های گلس 
پکیج 
کولر گازی و ابی 
و...
__________________
مسکن سی نور نبش فرهنگ16
تیموری",https://divar.ir/v/سیدرضی-قبل-فرهنگ-۱۷۰متر-۵واحدی/wZYKJ5eN,2025-02-15
فروش آپارتمان 158 متری 3 خوابه در اول دانشجو,158,10٬586٬000٬000 تومان,3,1403,2,6,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"اول دانشجو
کوچه20متری

فول امکانات

طراحی سبک مدرن بسیار خوش سلیقه
متریال درجه1

اطلاعات بیشتر تماس در خدمتم

شماور شما:نوید فتاحی 

مسکن گلکار
بین صیادشیرازی7و9",https://divar.ir/v/فروش-آپارتمان-۱۵۸-متری-۳-خوابه-در-اول-دانشجو/wZw2jpAm,2025-02-15
250 متری کلنگی/7 سقف پروانه/قابل تهاتر/امام رضا,Not found,250 متر,Not found,Not found,Not Found,Not Found,not found,not found,"با سلام و احترام

⚜️کارشناس فروش خانم عفت پناه⚜️
_________________________________
✅️ امام رضا 
✅️ 250 متری کلنگی 
✅️ جنوبی 
✅️ دارای 7 سقف پروانه (هر طبقه 160 متر مفید)
✅️ قابل تهاتر با آپارتمان حدود 7 میلیارد مابقی   نقد 
✅️ قیمت 23 میلیارد 
___________________________________",https://divar.ir/v/۲۵۰-متری-کلنگی-۷-سقف-پروانه-قابل-تهاتر-امام-رضا/wZwW297E,2025-02-15
70 متر کوثر شمالی / بازسازی شده / بدون مشابه,70,3٬400٬000٬000 تومان,2,1390,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"75 متر کوثر شمالی موقعیت مکانی عالی با دسترسی خیلی خوب به تمامی مراکز رفاهی مورد نیاز 
طبقه دوم پله ها نرم
 بازسازی شده بسیار شیک  
خوش‌نقشه
  غرق نور 
 مناسب سرمایه گذاری و مستغلات  
با قابلیت رهن تا 550 میلیون تومان رهن کامل  
نما سنگ فوق العاده 
مشاعات تمیز 
داخل واحد بدون یک ریال هزینه 
 ** قیمت استثنائی ** ………………………………………………………………
 موارد دیگر !! 
1_ 75 متر هفت تیر خیابان کتاب طبقه سوم با اسانسور4طبقه 8 واحد 3/550 میلیارد
2_ 112 متر هنرستان 27 طبقه سوم بدون اسانسور بازسازی شده بسیار شیک 3/600 میلیارد
3_ 85 متر کوثر 35 طبقه سوم پله بازسازی شده 3/400 میلیارد 
 برای اطلاع بیشتر تماس بگیرید .
املاک عباسی بین هنرستان 27 و 29",https://divar.ir/v/۷۰-متر-کوثر-شمالی-بازسازی-شده-بدون-مشابه/wZtG8x2h,2025-02-15
55متر *نورگیر باآسانسور خیابان 15متری* توس33 کشف,55,750٬000٬000 تومان,1,1400,3,3,تعداد واحد در طبقه: ۱ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ ندارد | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"☆املاک هاتفی ☆
موارد مشابه و غیر مشابه موجود میباشد ☆
برای بازدید موارد دیگر پایین آگهی روی صفحه مشاور کلیک نمایید ☆
.
.
واحد 55متری☆
طبقه چهارم با آسانسور☆
نورگیر عالی☆
1خواب☆
کمددیواری☆
کف سرامیک☆
کابینت ام دی اف☆
آبگرمکن کولر پمپ...☆
امتیازات جدا ☆
حمام و سرویس جدا☆
موقعیت عالی یک قدمی کلیه امکانات رفاهی ☆
واقع در خیابان 15متری شقایق2☆
تخلیه فوری☆
بازدید با هماهنگی املاک هاتفی توس33 کشف نبش شقایق یک ☆",https://divar.ir/v/۵۵متر-نورگیر-باآسانسور-خیابان-۱۵متری-توس۳۳-کشف/wZW1oWUf,2025-02-15
